year;solar;onwind;offwind-ac;offwind-dc;battery;H2
2020;1.00;1.00;1.00;1.00;1.00;1.00
2021;0.98;0.99;0.97;0.97;0.94;0.97
2022;0.98;0.99;0.97;0.97;0.94;0.97
2023;0.98;0.99;0.97;0.97;0.94;0.97
2024;0.98;0.99;0.97;0.97;0.95;0.97
2025;0.98;0.99;0.98;0.98;0.95;0.97
2026;0.98;0.99;0.98;0.98;0.95;0.97
2027;0.98;0.99;0.98;0.98;0.95;0.97
2028;0.98;0.99;0.98;0.98;0.95;0.97
2029;0.98;0.99;0.98;0.98;0.95;0.97
2030;0.98;0.99;0.98;0.98;0.95;0.97
2031;0.98;0.99;0.98;0.98;0.95;0.97
2032;0.98;0.99;0.98;0.98;0.96;0.97
2033;0.98;0.99;0.98;0.98;0.96;0.97
2034;0.98;0.99;0.99;0.99;0.96;0.97
2035;0.98;0.99;0.99;0.99;0.96;0.97
2036;0.98;0.99;0.99;0.99;0.96;0.97
2037;0.98;0.99;0.99;0.99;0.96;0.97
2038;0.98;0.99;0.99;0.99;0.96;0.97
2039;0.98;0.99;0.99;0.99;0.96;0.97
2040;0.98;0.99;0.99;0.99;0.96;0.96
2041;0.98;0.99;0.99;0.99;0.96;0.96
2042;0.98;0.99;0.99;0.99;0.96;0.96
2043;0.98;0.99;0.99;0.99;0.96;0.96
2044;0.98;0.99;0.99;0.99;0.96;0.96
2045;0.98;0.99;0.99;0.99;0.96;0.96
2046;0.98;0.99;0.99;0.99;0.96;0.96
2047;0.98;0.99;0.99;0.99;0.96;0.96
2048;0.98;0.99;0.99;0.99;0.96;0.96
2049;0.98;0.99;0.99;0.99;0.96;0.96
2050;0.98;0.99;0.99;0.99;0.96;0.95
